type,val,cat1,cat2,pval
doc_claimant,Barack Obama,wrong_true_all_10,correct_false_all_10,0.21008988611797472
doc_claimant,Barack Obama,wrong_false_all_10,correct_true_all_10,
doc_claimant,Barack Obama,wrong_false_all_10,correct_false_all_10,
doc_claimant,Barack Obama,correct_true_all_10,correct_false_all_10,
doc_claimant,Tony Abbott,wrong_true_all_10,wrong_false_all_10,0.018576123299754114
doc_claimant,Tony Abbott,wrong_true_all_10,correct_true_all_10,0.003192033030835495
doc_claimant,Tony Abbott,wrong_true_all_10,correct_false_all_10,0.018576123299754114
doc_claimant,Tony Abbott,wrong_false_all_10,correct_true_all_10,1.0
doc_claimant,Tony Abbott,wrong_false_all_10,correct_false_all_10,1.0
doc_claimant,Tony Abbott,correct_true_all_10,correct_false_all_10,1.0
doc_claimant,Lena Taylor,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Gina Raimondo,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,David Cicilline,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Christopher Pyne,wrong_false_all_10,correct_false_all_10,0.0002607296328553165
doc_claimant,Chris Christie,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Chris Bowen,wrong_true_all_10,wrong_false_all_10,1.5237771536825181e-09
doc_claimant,Chris Bowen,wrong_true_all_10,correct_true_all_10,0.003192033030835495
doc_claimant,Chris Bowen,wrong_true_all_10,correct_false_all_10,
doc_claimant,Chris Bowen,wrong_false_all_10,correct_true_all_10,0.0015643777971319013
doc_claimant,Chris Bowen,wrong_false_all_10,correct_false_all_10,4.646529858626453e-05
doc_claimant,Chris Bowen,correct_true_all_10,correct_false_all_10,0.21008988611797472
doc_claimant,Barry O'Farrell,wrong_true_all_10,wrong_false_all_10,7.843107220057794e-05
doc_claimant,Barry O'Farrell,wrong_true_all_10,correct_true_all_10,
doc_claimant,Barry O'Farrell,wrong_true_all_10,correct_false_all_10,
doc_claimant,Barry O'Farrell,wrong_false_all_10,correct_true_all_10,7.843107220057794e-05
doc_claimant,Barry O'Farrell,wrong_false_all_10,correct_false_all_10,0.00013254298199151285
doc_claimant,Barry O'Farrell,correct_true_all_10,correct_false_all_10,
doc_claimant,Yvette Mcgee Brown,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Scott Morrison,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Marcia Fudge,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Hillary Clinton,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,George Brandis,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Dennis Kucinich,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Alan Grayson,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Paul Hirschbiel,wrong_false_all_10,correct_false_all_10,7.744216431044088e-06
doc_claimant,Mitt Romney,wrong_true_all_10,wrong_false_all_10,
doc_claimant,Mitt Romney,wrong_true_all_10,correct_true_all_10,
doc_claimant,Mitt Romney,wrong_true_all_10,correct_false_all_10,4.646529858626453e-05
doc_claimant,Mitt Romney,wrong_false_all_10,correct_true_all_10,
doc_claimant,Mitt Romney,wrong_false_all_10,correct_false_all_10,4.646529858626453e-05
